id;created_at;written_by;author;quote;message_id
0;02.03.2021 21:48:15;<@!86758122726653952>;<@!86758122726653952>;<@!114753622457319433> est gentil;816426708722909257
1;02.03.2021 21:50:36;<@!118399134326587397>;<@!86758122726653952>;Et jesus leur dit: Aller voir là-bas si j'y suis! Et il y allérent et le miracle arriva.;816427299863003176
2;02.03.2021 21:56:45;<@!86758122726653952>;<@!114753622457319433>;Le pire;816428847632220160
3;03.03.2021 17:45:08;<@!86758122726653952>;<@!86758122726653952>;: Aléèïïohhô;816727912223997952
